,Unnamed: 0,WEEK_START,quote,author,score,country,sentiment,direction
0,243,2025-03-03,"'A halt on goods and supplies entering Gaza, such as that announced by the government of Israel would risk violating international humanitarian law.'","joint statement by the foreign ministers of France, Germany, and the UK",-1.0,DEU,-1.0,-1
1,244,2025-03-03,'Hamas must neither govern Gaza nor be a threat to Israel any more.',"statement by the foreign ministers of France, Germany, Italy, and Britain",1.0,DEU,-1.0,1
2,245,2025-02-10,'The relocation of a population is unacceptable and against international law.',Olaf Scholz,-1.0,DEU,-1.0,-1
3,246,2024-11-18,'unique relations with a great responsibility for Israel',German chancellor's spokesman,1.0,DEU,1.0,1
4,247,2023-10-09,'Israel's security was German state policy.',Olaf Scholz,1.0,DEU,-1.0,1
5,248,2023-10-16,'day of rage was not just a phrase but psychological terror that leads to concrete attacks',Central Council of Jews in Germany,1.0,DEU,-1.0,1
6,249,2023-11-06,'In such difficult times there is only one place we can be: at Israel's side.',Olaf Scholz,1.0,DEU,-1.0,1
7,250,2023-11-06,'Israel's security is our obligation.',Robert Habeck,1.0,DEU,1.0,1
8,251,2023-11-06,"'It is problematic when it turns into antisemitic and anti-Israel hate where people shout From the river to the sea, Palestine shall be free - which would deny Israel's right to exist.'",Felix Klein,1.0,DEU,-1.0,1
9,252,2024-03-11,"'There is a danger that a full-scale offensive in Rafah will result in many terrible civilian casualties, which must be avoided at all costs.'",Olaf Scholz,-1.0,DEU,-1.0,-1
10,253,2024-02-12,'People in Rafah with nowhere to go could not simply vanish into thin air.',German Foreign Minister Annalena Baerbock,-0.5,DEU,-0.5,-1
11,254,2024-03-11,'A hostage deal for Israelis taken by Hamas on 7 October was necessary alongside a longer-lasting ceasefire in Gaza.',Olaf Scholz,0.0,DEU,0.5,0
12,255,2024-03-11,'The German leader said he told his Israeli counterpart a humanitarian logic should be considered ahead of a ground offensive in Rafah.',Olaf Scholz,0.0,DEU,-1.0,0
13,256,2023-10-30,'Terror organisation Hamas pursues the goal of destroying the state of Israel.',Nancy Faeser,1.0,DEU,-1.0,1
14,257,2024-07-08,'People seeking shelter in schools getting killed is unacceptable. The repeated attacks on schools by the Israeli army must stop and an investigation must come quickly.',German foreign ministry,-1.0,DEU,-1.0,-1
15,258,2024-04-15,"'For us, it is important that this moment is now also used for further de-escalation and that Israel also uses this success to strengthen its position in the whole region and not respond with a massive attack of its own.'",German Chancellor Olaf Scholz,0.0,DEU,1.0,0
16,259,2024-05-20,'The simultaneous publication of the charges against Israeli and Hamas leaders created the incorrect impression of equivalency.',Germany's foreign ministry,0.0,DEU,-1.0,0
17,260,2023-10-02,'Germany condemns these Hamas attacks and stands by Israel.',Olaf Scholz,1.0,DEU,-1.0,1
18,261,2024-01-08,'The German government decisively and expressly rejects the accusation of genocide brought against Israel before the International Court of Justice.',German government spokesperson Steffen Hebestreit,1.0,DEU,-1.0,1
19,262,2023-12-04,"'At this moment, there is only one place for Germany. That is the side of Israel. That’s what we mean when we say the security of Israel is Germany’s raison d’etre [reason of state].'",German Chancellor Olaf Scholz,1.0,DEU,-1.0,1
