,WEEK_START,escalation,return_hostages,protests,rhetoric_position,fatalities_isr
0,2023-07-10,0,1.0,95.0,0.0,0.0
1,2023-07-17,1,0.0,144.0,0.0,0.0
2,2023-07-24,0,0.0,67.0,0.0,0.0
3,2023-07-31,0,1.0,31.0,0.0,2.0
4,2023-08-07,0,0.0,58.0,-1.0,0.0
5,2023-08-14,0,0.0,34.0,0.0,0.0
6,2023-08-21,0,3.0,43.0,0.0,0.0
7,2023-08-28,1,2.0,39.0,0.0,1.0
8,2023-09-04,0,0.0,28.0,0.0,0.0
9,2023-09-11,0,0.0,0.0,0.0,0.0
10,2023-09-18,0,1.0,36.0,0.0,0.0
11,2023-09-25,0,0.0,38.0,0.0,0.0
12,2023-10-02,526,16.0,0.0,0.8181818181818182,1504.0
13,2023-10-09,2328,107.0,0.0,0.5909090909090909,89.0
14,2023-10-16,1891,137.0,0.0,0.38235294117647056,2.0
15,2023-10-23,3182,208.0,0.0,0.5,2.0
16,2023-10-30,1537,118.0,0.0,0.14864864864864866,5.0
17,2023-11-06,1089,68.0,0.0,0.1,1.0
18,2023-11-13,2298,76.0,0.0,0.10256410256410256,1.0
19,2023-11-20,1470,586.0,0.0,0.0,0.0
20,2023-11-27,817,582.0,0.0,-0.0125,6.0
21,2023-12-04,1962,95.0,0.0,0.22727272727272727,1.0
22,2023-12-11,1094,77.0,0.0,-0.36538461538461536,1.0
23,2023-12-18,1012,105.0,0.0,-0.03571428571428571,2.0
24,2023-12-25,1284,39.0,0.0,0.21428571428571427,0.0
25,2024-01-01,1011,34.0,0.0,0.0,0.0
26,2024-01-08,910,25.0,0.0,0.02,2.0
27,2024-01-15,1111,69.0,26.0,-0.09090909090909091,1.0
28,2024-01-22,1172,93.0,34.0,-0.3333333333333333,0.0
29,2024-01-29,626,65.0,0.0,0.16666666666666666,2.0
30,2024-02-05,808,65.0,30.0,-0.08333333333333333,0.0
31,2024-02-12,782,42.0,40.0,0.05555555555555555,4.0
32,2024-02-19,509,70.0,31.0,-0.25,0.0
33,2024-02-26,640,46.0,31.0,-0.14772727272727273,0.0
34,2024-03-04,653,33.0,42.0,-0.3235294117647059,1.0
35,2024-03-11,455,62.0,0.0,-0.2037037037037037,2.0
36,2024-03-18,371,56.0,0.0,0.0,0.0
37,2024-03-25,428,38.0,28.0,0.0,4.0
38,2024-04-01,345,25.0,30.0,-0.023809523809523808,1.0
39,2024-04-08,541,62.0,0.0,0.3076923076923077,0.0
40,2024-04-15,344,26.0,27.0,0.4444444444444444,1.0
41,2024-04-22,332,50.0,0.0,-0.07692307692307693,2.0
42,2024-04-29,228,84.0,0.0,0.34615384615384615,4.0
43,2024-05-06,342,105.0,31.0,0.1346153846153846,3.0
44,2024-05-13,461,20.0,33.0,0.0,1.0
45,2024-05-20,370,25.0,35.0,0.6785714285714286,0.0
46,2024-05-27,308,41.0,42.0,0.21428571428571427,0.0
47,2024-06-03,589,37.0,40.0,0.5,2.0
48,2024-06-10,178,64.0,0.0,0.2631578947368421,1.0
49,2024-06-17,296,10.0,31.0,0.5,0.0
50,2024-06-24,352,9.0,47.0,0.0,0.0
51,2024-07-01,359,31.0,61.0,0.2,2.0
52,2024-07-08,585,18.0,0.0,-1.0,3.0
53,2024-07-15,385,5.0,45.0,0.0,1.0
54,2024-07-22,329,19.0,29.0,0.15,1.0
55,2024-07-29,300,10.0,30.0,0.1875,4.0
56,2024-08-05,403,9.0,0.0,0.125,1.0
57,2024-08-12,492,23.0,26.0,0.10526315789473684,1.0
58,2024-08-19,537,16.0,0.0,0.041666666666666664,2.0
59,2024-08-26,376,17.0,59.0,0.0,0.0
60,2024-09-02,262,65.0,99.0,0.6875,0.0
61,2024-09-09,410,23.0,33.0,0.0,0.0
62,2024-09-16,332,11.0,28.0,0.0,2.0
63,2024-09-23,1245,14.0,0.0,-0.045454545454545456,2.0
64,2024-09-30,643,10.0,0.0,0.6428571428571429,12.0
65,2024-10-07,676,21.0,0.0,-0.16666666666666666,8.0
66,2024-10-14,607,52.0,0.0,-0.15384615384615385,5.0
67,2024-10-21,806,21.0,0.0,0.0,5.0
68,2024-10-28,838,11.0,0.0,-0.2857142857142857,8.0
69,2024-11-04,686,11.0,35.0,0.3333333333333333,2.0
70,2024-11-11,593,9.0,0.0,-1.0,2.0
71,2024-11-18,595,12.0,0.0,0.8333333333333334,2.0
72,2024-11-25,498,9.0,0.0,0.3333333333333333,0.0
73,2024-12-02,345,33.0,0.0,1.0,0.0
74,2024-12-09,408,21.0,0.0,0.0,0.0
75,2024-12-16,299,27.0,0.0,0.0,0.0
76,2024-12-23,404,16.0,33.0,0.0,1.0
77,2024-12-30,364,29.0,35.0,0.5,0.0
78,2025-01-06,241,40.0,0.0,1.0,0.0
79,2025-01-13,404,262.0,0.0,0.28846153846153844,2.0
80,2025-01-20,53,308.0,0.0,1.0,1.0
81,2025-01-27,37,231.0,0.0,0.0,0.0
82,2025-02-03,42,188.0,0.0,0.125,0.0
83,2025-02-10,41,288.0,0.0,0.6666666666666666,0.0
84,2025-02-17,45,223.0,0.0,1.0,0.0
85,2025-02-24,27,110.0,0.0,0.5,2.0
